initials,date,time,replica,initial_no_ptoids,patch1_ptoids,patch2_ptoids,t_day
KG,17/10/2023,11:00:00,1,2,2,0,0
KG,17/10/2023,11:00:00,2,2,2,0,0
KG,17/10/2023,11:00:00,3,2,2,0,0
KG,17/10/2023,11:00:00,4,2,2,0,0
KG,17/10/2023,11:00:00,5,2,2,0,0
KG,17/10/2023,11:00:00,1,5,5,0,0
KG,17/10/2023,11:00:00,2,5,5,0,0
KG,17/10/2023,11:00:00,3,5,5,0,0
KG,17/10/2023,11:00:00,4,5,5,0,0
KG,17/10/2023,11:00:00,5,5,5,0,0
KG,17/10/2023,11:00:00,1,10,10,0,0
KG,17/10/2023,11:00:00,2,10,10,0,0
KG,17/10/2023,11:00:00,3,10,10,0,0
KG,17/10/2023,11:00:00,4,10,10,0,0
KG,17/10/2023,11:00:00,5,10,10,0,0
KG,18/10/2023,10:00:00,1,2,1,1,1
KG,18/10/2023,10:00:00,2,2,2,0,1
KG,18/10/2023,10:00:00,3,2,2,0,1
KG,18/10/2023,10:00:00,4,2,2,0,1
KG,18/10/2023,10:00:00,5,2,2,0,1
KG,18/10/2023,10:00:00,1,5,5,0,1
KG,18/10/2023,10:00:00,2,5,4,0,1
KG,18/10/2023,10:00:00,3,5,3,1,1
KG,18/10/2023,10:00:00,4,5,3,2,1
KG,18/10/2023,10:00:00,5,5,4,0,1
KG,18/10/2023,10:00:00,1,10,4,6,1
KG,18/10/2023,10:00:00,2,10,7,2,1
KG,18/10/2023,10:00:00,3,10,9,0,1
KG,18/10/2023,10:00:00,4,10,8,2,1
KG,18/10/2023,10:00:00,5,10,8,2,1
KG,19/10/2023,10:00:00,1,2,1,1,2
KG,19/10/2023,10:00:00,2,2,2,0,2
KG,19/10/2023,10:00:00,3,2,2,0,2
KG,19/10/2023,10:00:00,4,2,1,0,2
KG,19/10/2023,10:00:00,5,2,1,0,2
KG,19/10/2023,10:00:00,1,5,4,0,2
KG,19/10/2023,10:00:00,2,5,4,0,2
KG,19/10/2023,10:00:00,3,5,2,2,2
KG,19/10/2023,10:00:00,4,5,3,2,2
KG,19/10/2023,10:00:00,5,5,4,0,2
KG,19/10/2023,10:00:00,1,10,3,6,2
KG,19/10/2023,10:00:00,2,10,7,2,2
KG,19/10/2023,10:00:00,3,10,7,1,2
KG,19/10/2023,10:00:00,4,10,7,3,2
KG,19/10/2023,10:00:00,5,10,9,1,2
KG,20/10/2023,10:00:00,1,2,1,1,3
KG,20/10/2023,10:00:00,2,2,2,0,3
KG,20/10/2023,10:00:00,3,2,2,0,3
KG,20/10/2023,10:00:00,4,2,0,0,3
KG,20/10/2023,10:00:00,5,2,0,1,3
KG,20/10/2023,10:00:00,1,5,3,0,3
KG,20/10/2023,10:00:00,2,5,4,0,3
KG,20/10/2023,10:00:00,3,5,2,2,3
KG,20/10/2023,10:00:00,4,5,2,3,3
KG,20/10/2023,10:00:00,5,5,2,1,3
KG,20/10/2023,10:00:00,1,10,2,7,3
KG,20/10/2023,10:00:00,2,10,4,2,3
KG,20/10/2023,10:00:00,3,10,5,2,3
KG,20/10/2023,10:00:00,4,10,6,3,3
KG,20/10/2023,10:00:00,5,10,8,2,3
