initials,date,time,batch,no_ptoids,no_females,no_males
KG,06/11/2023,14:00:00,1,19,15,4
KG,06/11/2023,14:00:00,2,19,17,2
KG,06/11/2023,14:00:00,3,20,18,2
KG,06/11/2023,14:00:00,4,28,20,8
KG,06/11/2023,14:00:00,5,22,18,4
KG,06/11/2023,14:00:00,6,5,4,1
KG,07/11/2023,14:00:00,1,5,4,1
KG,07/11/2023,14:00:00,2,5,2,3
KG,07/11/2023,14:00:00,3,5,4,1
KG,07/11/2023,14:00:00,4,5,5,0
KG,07/11/2023,14:00:00,5,5,5,0
KG,07/11/2023,14:00:00,6,10,7,3
KG,07/11/2023,14:00:00,7,10,6,4
KG,07/11/2023,14:00:00,8,9,8,1
KG,07/11/2023,14:00:00,9,10,9,1
KG,08/11/2023,14:00:00,1,10,7,3
KG,08/11/2023,14:00:00,2,10,6,4
KG,08/11/2023,14:00:00,3,11,10,1
