initials,date_setup,date_mummies_count,aphid_species,initial_no_aphids,replica,no_mummies
KG,14/11/2023,28/11/2023,BRBR,64,1,47
KG,14/11/2023,28/11/2023,BRBR,64,2,0
KG,14/11/2023,28/11/2023,BRBR,64,3,76
KG,14/11/2023,28/11/2023,BRBR,64,4,16
KG,14/11/2023,28/11/2023,BRBR,64,5,4
KG,14/11/2023,28/11/2023,BRBR,32,1,20
KG,14/11/2023,28/11/2023,BRBR,32,2,18
KG,14/11/2023,28/11/2023,BRBR,32,3,0
KG,14/11/2023,28/11/2023,BRBR,32,4,33
KG,14/11/2023,28/11/2023,BRBR,32,5,29
KG,14/11/2023,28/11/2023,BRBR,16,1,35
KG,14/11/2023,28/11/2023,BRBR,16,2,11
KG,14/11/2023,28/11/2023,BRBR,16,3,13
KG,14/11/2023,28/11/2023,BRBR,16,4,8
KG,14/11/2023,28/11/2023,BRBR,16,5,27
KG,14/11/2023,28/11/2023,BRBR,8,1,10
KG,14/11/2023,28/11/2023,BRBR,8,2,8
KG,14/11/2023,28/11/2023,BRBR,8,3,0
KG,14/11/2023,28/11/2023,BRBR,8,4,6
KG,14/11/2023,28/11/2023,BRBR,8,5,0
KG,14/11/2023,28/11/2023,BRBR,4,1,2
KG,14/11/2023,28/11/2023,BRBR,4,2,2
KG,14/11/2023,28/11/2023,BRBR,4,3,0
KG,14/11/2023,28/11/2023,BRBR,4,4,3
KG,14/11/2023,28/11/2023,BRBR,4,5,2
KG,14/11/2023,28/11/2023,LIER,64,1,29
KG,14/11/2023,28/11/2023,LIER,64,2,45
KG,14/11/2023,28/11/2023,LIER,64,3,8
KG,14/11/2023,28/11/2023,LIER,64,4,0
KG,14/11/2023,28/11/2023,LIER,64,5,22
KG,14/11/2023,28/11/2023,LIER,32,1,39
KG,14/11/2023,28/11/2023,LIER,32,2,2
KG,14/11/2023,28/11/2023,LIER,32,3,0
KG,14/11/2023,28/11/2023,LIER,32,4,0
KG,14/11/2023,28/11/2023,LIER,32,5,11
KG,14/11/2023,28/11/2023,LIER,16,1,8
KG,14/11/2023,28/11/2023,LIER,16,2,19
KG,14/11/2023,28/11/2023,LIER,16,3,12
KG,14/11/2023,28/11/2023,LIER,16,4,8
KG,14/11/2023,28/11/2023,LIER,16,5,7
KG,14/11/2023,28/11/2023,LIER,8,1,1
KG,14/11/2023,28/11/2023,LIER,8,2,1
KG,14/11/2023,28/11/2023,LIER,8,3,0
KG,14/11/2023,28/11/2023,LIER,8,4,0
KG,14/11/2023,28/11/2023,LIER,8,5,2
KG,14/11/2023,28/11/2023,LIER,4,1,0
KG,14/11/2023,28/11/2023,LIER,4,2,3
KG,14/11/2023,28/11/2023,LIER,4,3,0
KG,14/11/2023,28/11/2023,LIER,4,4,0
KG,14/11/2023,28/11/2023,LIER,4,5,1
