initials,date,time,replica,no_ptoids
KG,07/11/2023,14:00:00,1,5
KG,07/11/2023,14:00:00,2,5
KG,07/11/2023,14:00:00,3,5
KG,07/11/2023,14:00:00,4,5
KG,07/11/2023,14:00:00,5,6
KG,08/11/2023,14:00:00,1,5
KG,08/11/2023,14:00:00,2,5
KG,08/11/2023,14:00:00,3,5
KG,08/11/2023,14:00:00,4,5
KG,08/11/2023,14:00:00,5,6
KG,09/11/2023,14:00:00,1,5
KG,09/11/2023,14:00:00,2,5
KG,09/11/2023,14:00:00,3,5
KG,09/11/2023,14:00:00,4,5
KG,09/11/2023,14:00:00,5,6
KG,10/11/2023,14:00:00,1,5
KG,10/11/2023,14:00:00,2,5
KG,10/11/2023,14:00:00,3,4
KG,10/11/2023,14:00:00,4,4
KG,10/11/2023,14:00:00,5,6
KG,11/11/2023,14:00:00,1,4
KG,11/11/2023,14:00:00,2,5
KG,11/11/2023,14:00:00,3,4
KG,11/11/2023,14:00:00,4,2
KG,11/11/2023,14:00:00,5,4
KG,12/11/2023,14:00:00,1,4
KG,12/11/2023,14:00:00,2,3
KG,12/11/2023,14:00:00,3,4
KG,12/11/2023,14:00:00,4,2
KG,12/11/2023,14:00:00,5,4
KG,13/11/2023,14:00:00,1,3
KG,13/11/2023,14:00:00,2,0
KG,13/11/2023,14:00:00,3,3
KG,13/11/2023,14:00:00,4,0
KG,13/11/2023,14:00:00,5,2
KG,14/11/2023,14:00:00,1,0
KG,14/11/2023,14:00:00,2,0
KG,14/11/2023,14:00:00,3,0
KG,14/11/2023,14:00:00,4,0
KG,14/11/2023,14:00:00,5,0
