initials,date,time,replica,patch1_wingless,patch1_winged,patch2_wingless,patch2_winged
KG,21/08/2023,14:00:00,1,5,0,0,0
KG,21/08/2023,14:00:00,2,5,0,0,0
KG,21/08/2023,14:00:00,3,5,0,0,0
KG,21/08/2023,14:00:00,4,5,0,0,0
KG,21/08/2023,14:00:00,5,5,0,0,0
KG,23/08/2023,14:00:00,1,47,0,0,0
KG,23/08/2023,14:00:00,2,49,0,0,0
KG,23/08/2023,14:00:00,3,41,0,0,0
KG,23/08/2023,14:00:00,4,56,0,0,0
KG,23/08/2023,14:00:00,5,36,1,0,0
KG,25/08/2023,12:00:00,1,84,0,0,0
KG,25/08/2023,12:00:00,2,102,0,0,0
KG,25/08/2023,12:00:00,3,90,0,0,0
KG,25/08/2023,12:00:00,4,118,0,0,0
KG,25/08/2023,12:00:00,5,65,0,0,0
KG,28/08/2023,09:30:00,1,138,0,0,0
KG,28/08/2023,09:30:00,2,150,0,0,0
KG,28/08/2023,09:30:00,3,134,0,0,0
KG,28/08/2023,09:30:00,4,192,0,0,0
KG,28/08/2023,09:30:00,5,99,0,0,0
KG,30/08/2023,14:30:00,1,169,0,0,0
KG,30/08/2023,14:30:00,2,164,0,0,0
KG,30/08/2023,14:30:00,3,152,0,0,0
KG,30/08/2023,14:30:00,4,228,0,0,0
KG,30/08/2023,14:30:00,5,125,0,0,0
DTV,01/09/2023,10:30:00,1,177,0,0,0
DTV,01/09/2023,10:30:00,2,181,0,0,0
DTV,01/09/2023,10:30:00,3,160,0,0,0
DTV,01/09/2023,10:30:00,4,260,0,0,0
DTV,01/09/2023,10:30:00,5,139,2,0,0
KG,04/09/2023,10:00:00,1,386,50,0,1
KG,04/09/2023,10:00:00,2,402,36,2,10
KG,04/09/2023,10:00:00,3,260,50,2,3
KG,04/09/2023,10:00:00,4,467,40,1,13
KG,04/09/2023,10:00:00,5,348,28,0,5
KG,06/09/2023,14:30:00,1,595,66,1,13
KG,06/09/2023,14:30:00,2,590,55,1,28
KG,06/09/2023,14:30:00,3,450,68,0,29
KG,06/09/2023,14:30:00,4,615,41,6,47
KG,06/09/2023,14:30:00,5,555,48,0,7
KG,09/09/2023,11:00:00,1,1010,76,2,12
KG,09/09/2023,11:00:00,2,1065,66,5,18
KG,09/09/2023,11:00:00,3,620,76,0,11
KG,09/09/2023,11:00:00,4,885,49,12,47
KG,09/09/2023,11:00:00,5,975,79,4,13
KG,11/09/2023,14:00:00,1,1355,98,2,13
KG,11/09/2023,14:00:00,2,950,43,10,65
KG,11/09/2023,14:00:00,3,990,92,0,3
KG,11/09/2023,14:00:00,4,950,36,2,69
KG,11/09/2023,14:00:00,5,1385,90,4,16
KG,13/09/2023,14:00:00,1,1485,98,2,9
KG,13/09/2023,14:00:00,2,995,119,5,9
KG,13/09/2023,14:00:00,3,1100,51,2,53
KG,13/09/2023,14:00:00,4,850,68,12,40
KG,13/09/2023,14:00:00,5,1660,70,37,51
KG,15/09/2023,08:30:00,1,1265,154,15,15
KG,15/09/2023,08:30:00,2,1155,153,12,31
KG,15/09/2023,08:30:00,3,1245,61,29,38
KG,15/09/2023,08:30:00,4,165,102,32,38
KG,15/09/2023,08:30:00,5,1515,92,66,58
DTV,18/09/2023,16:30:00,1,,,605,48
DTV,18/09/2023,16:30:00,2,,,1210,120
DTV,18/09/2023,16:30:00,3,,,905,95
DTV,18/09/2023,16:30:00,4,,,565,32
DTV,18/09/2023,16:30:00,5,,,655,39
DTV,20/09/2023,11:00:00,1,,,,
DTV,20/09/2023,11:00:00,2,,,,
DTV,20/09/2023,11:00:00,3,,,,
DTV,20/09/2023,11:00:00,4,,,,
DTV,20/09/2023,11:00:00,5,,,,
